
=== Outer Fold 1/5 ===
  1/150: MAE = 22.9609 ± 3.0495, params = {'initial_temperature': 50, 'cooling_rate': 0.8, 'iterations_per_temp': 20, 'step_size': 0.1}
  29/150: MAE = 23.3352 ± 1.0058, params = {'initial_temperature': 50, 'cooling_rate': 0.98, 'iterations_per_temp': 100, 'step_size': 0.1}
  30/150: MAE = 21.8752 ± 4.5076, params = {'initial_temperature': 50, 'cooling_rate': 0.98, 'iterations_per_temp': 100, 'step_size': 0.2}
  31/150: MAE = 21.2883 ± 7.0118, params = {'initial_temperature': 100, 'cooling_rate': 0.8, 'iterations_per_temp': 20, 'step_size': 0.1}
  32/150: MAE = 21.1302 ± 3.2538, params = {'initial_temperature': 100, 'cooling_rate': 0.8, 'iterations_per_temp': 20, 'step_size': 0.2}
  33/150: MAE = 22.0749 ± 2.1218, params = {'initial_temperature': 100, 'cooling_rate': 0.8, 'iterations_per_temp': 50, 'step_size': 0.1}
  34/150: MAE = 17.6928 ± 1.7142, params = {'initial_temperature': 100, 'cooling_rate': 0.8, 'iterations_per_temp': 50, 'step_size': 0.2}
  35/150: MAE = 24.5756 ± 4.4584, params = {'initial_temperature': 100, 'cooling_rate': 0.8, 'iterations_per_temp': 100, 'step_size': 0.1}
  36/150: MAE = 16.8771 ± 3.5861, params = {'initial_temperature': 100, 'cooling_rate': 0.8, 'iterations_per_temp': 100, 'step_size': 0.2}
  37/150: MAE = 24.8810 ± 4.2494, params = {'initial_temperature': 100, 'cooling_rate': 0.85, 'iterations_per_temp': 20, 'step_size': 0.1}
  38/150: MAE = 18.1023 ± 2.0805, params = {'initial_temperature': 100, 'cooling_rate': 0.85, 'iterations_per_temp': 20, 'step_size': 0.2}
  39/150: MAE = 21.5325 ± 1.4067, params = {'initial_temperature': 100, 'cooling_rate': 0.85, 'iterations_per_temp': 50, 'step_size': 0.1}
  40/150: MAE = 22.1905 ± 6.0011, params = {'initial_temperature': 100, 'cooling_rate': 0.85, 'iterations_per_temp': 50, 'step_size': 0.2}
  41/150: MAE = 25.2025 ± 3.2693, params = {'initial_temperature': 100, 'cooling_rate': 0.85, 'iterations_per_temp': 100, 'step_size': 0.1}
  42/150: MAE = 18.8935 ± 1.9962, params = {'initial_temperature': 100, 'cooling_rate': 0.85, 'iterations_per_temp': 100, 'step_size': 0.2}
  43/150: MAE = 21.4340 ± 0.3987, params = {'initial_temperature': 100, 'cooling_rate': 0.9, 'iterations_per_temp': 20, 'step_size': 0.1}
  44/150: MAE = 16.5309 ± 2.2884, params = {'initial_temperature': 100, 'cooling_rate': 0.9, 'iterations_per_temp': 20, 'step_size': 0.2}
  45/150: MAE = 21.8024 ± 5.8326, params = {'initial_temperature': 100, 'cooling_rate': 0.9, 'iterations_per_temp': 50, 'step_size': 0.1}
  46/150: MAE = 19.9540 ± 2.3982, params = {'initial_temperature': 100, 'cooling_rate': 0.9, 'iterations_per_temp': 50, 'step_size': 0.2}
  47/150: MAE = 21.7117 ± 3.7726, params = {'initial_temperature': 100, 'cooling_rate': 0.9, 'iterations_per_temp': 100, 'step_size': 0.1}
  48/150: MAE = 17.1090 ± 4.3840, params = {'initial_temperature': 100, 'cooling_rate': 0.9, 'iterations_per_temp': 100, 'step_size': 0.2}
  49/150: MAE = 24.6724 ± 2.0871, params = {'initial_temperature': 100, 'cooling_rate': 0.95, 'iterations_per_temp': 20, 'step_size': 0.1}
  50/150: MAE = 18.6501 ± 5.5055, params = {'initial_temperature': 100, 'cooling_rate': 0.95, 'iterations_per_temp': 20, 'step_size': 0.2}
  51/150: MAE = 24.5644 ± 1.6859, params = {'initial_temperature': 100, 'cooling_rate': 0.95, 'iterations_per_temp': 50, 'step_size': 0.1}
  52/150: MAE = 18.0785 ± 6.6530, params = {'initial_temperature': 100, 'cooling_rate': 0.95, 'iterations_per_temp': 50, 'step_size': 0.2}
  53/150: MAE = 23.8009 ± 4.3848, params = {'initial_temperature': 100, 'cooling_rate': 0.95, 'iterations_per_temp': 100, 'step_size': 0.1}
  54/150: MAE = 19.7679 ± 3.6317, params = {'initial_temperature': 100, 'cooling_rate': 0.95, 'iterations_per_temp': 100, 'step_size': 0.2}
  55/150: MAE = 22.6115 ± 3.0781, params = {'initial_temperature': 100, 'cooling_rate': 0.98, 'iterations_per_temp': 20, 'step_size': 0.1}
  56/150: MAE = 17.1363 ± 5.6926, params = {'initial_temperature': 100, 'cooling_rate': 0.98, 'iterations_per_temp': 20, 'step_size': 0.2}
  57/150: MAE = 23.4505 ± 1.2778, params = {'initial_temperature': 100, 'cooling_rate': 0.98, 'iterations_per_temp': 50, 'step_size': 0.1}
  58/150: MAE = 19.9195 ± 2.2771, params = {'initial_temperature': 100, 'cooling_rate': 0.98, 'iterations_per_temp': 50, 'step_size': 0.2}
  59/150: MAE = 24.8167 ± 3.1367, params = {'initial_temperature': 100, 'cooling_rate': 0.98, 'iterations_per_temp': 100, 'step_size': 0.1}
  60/150: MAE = 18.5350 ± 4.3740, params = {'initial_temperature': 100, 'cooling_rate': 0.98, 'iterations_per_temp': 100, 'step_size': 0.2}
  61/150: MAE = 24.9084 ± 0.1866, params = {'initial_temperature': 150, 'cooling_rate': 0.8, 'iterations_per_temp': 20, 'step_size': 0.1}
  62/150: MAE = 18.3938 ± 3.8540, params = {'initial_temperature': 150, 'cooling_rate': 0.8, 'iterations_per_temp': 20, 'step_size': 0.2}
  63/150: MAE = 20.9829 ± 6.0575, params = {'initial_temperature': 150, 'cooling_rate': 0.8, 'iterations_per_temp': 50, 'step_size': 0.1}
  64/150: MAE = 16.6546 ± 4.6830, params = {'initial_temperature': 150, 'cooling_rate': 0.8, 'iterations_per_temp': 50, 'step_size': 0.2}
  65/150: MAE = 23.6208 ± 0.5343, params = {'initial_temperature': 150, 'cooling_rate': 0.8, 'iterations_per_temp': 100, 'step_size': 0.1}
  66/150: MAE = 19.9994 ± 1.4269, params = {'initial_temperature': 150, 'cooling_rate': 0.8, 'iterations_per_temp': 100, 'step_size': 0.2}
  67/150: MAE = 23.4955 ± 2.9409, params = {'initial_temperature': 150, 'cooling_rate': 0.85, 'iterations_per_temp': 20, 'step_size': 0.1}
  68/150: MAE = 17.6661 ± 1.5617, params = {'initial_temperature': 150, 'cooling_rate': 0.85, 'iterations_per_temp': 20, 'step_size': 0.2}
  69/150: MAE = 21.8778 ± 2.4336, params = {'initial_temperature': 150, 'cooling_rate': 0.85, 'iterations_per_temp': 50, 'step_size': 0.1}
  70/150: MAE = 20.0200 ± 3.4552, params = {'initial_temperature': 150, 'cooling_rate': 0.85, 'iterations_per_temp': 50, 'step_size': 0.2}
  71/150: MAE = 23.3032 ± 5.3931, params = {'initial_temperature': 150, 'cooling_rate': 0.85, 'iterations_per_temp': 100, 'step_size': 0.1}
  72/150: MAE = 18.4081 ± 3.0887, params = {'initial_temperature': 150, 'cooling_rate': 0.85, 'iterations_per_temp': 100, 'step_size': 0.2}
  73/150: MAE = 24.7292 ± 1.6666, params = {'initial_temperature': 150, 'cooling_rate': 0.9, 'iterations_per_temp': 20, 'step_size': 0.1}
  74/150: MAE = 16.4972 ± 4.0194, params = {'initial_temperature': 150, 'cooling_rate': 0.9, 'iterations_per_temp': 20, 'step_size': 0.2}
  75/150: MAE = 19.5761 ± 2.5466, params = {'initial_temperature': 150, 'cooling_rate': 0.9, 'iterations_per_temp': 50, 'step_size': 0.1}
  76/150: MAE = 17.9554 ± 5.9939, params = {'initial_temperature': 150, 'cooling_rate': 0.9, 'iterations_per_temp': 50, 'step_size': 0.2}
  77/150: MAE = 24.1044 ± 4.3533, params = {'initial_temperature': 150, 'cooling_rate': 0.9, 'iterations_per_temp': 100, 'step_size': 0.1}
  78/150: MAE = 16.9994 ± 1.0439, params = {'initial_temperature': 150, 'cooling_rate': 0.9, 'iterations_per_temp': 100, 'step_size': 0.2}
  79/150: MAE = 25.1315 ± 1.0187, params = {'initial_temperature': 150, 'cooling_rate': 0.95, 'iterations_per_temp': 20, 'step_size': 0.1}
  80/150: MAE = 20.4968 ± 3.3507, params = {'initial_temperature': 150, 'cooling_rate': 0.95, 'iterations_per_temp': 20, 'step_size': 0.2}
  81/150: MAE = 24.9605 ± 1.3528, params = {'initial_temperature': 150, 'cooling_rate': 0.95, 'iterations_per_temp': 50, 'step_size': 0.1}
  82/150: MAE = 16.7849 ± 2.8426, params = {'initial_temperature': 150, 'cooling_rate': 0.95, 'iterations_per_temp': 50, 'step_size': 0.2}
  83/150: MAE = 20.5151 ± 3.1686, params = {'initial_temperature': 150, 'cooling_rate': 0.95, 'iterations_per_temp': 100, 'step_size': 0.1}
  84/150: MAE = 17.1557 ± 2.9322, params = {'initial_temperature': 150, 'cooling_rate': 0.95, 'iterations_per_temp': 100, 'step_size': 0.2}
  85/150: MAE = 19.3053 ± 1.2346, params = {'initial_temperature': 150, 'cooling_rate': 0.98, 'iterations_per_temp': 20, 'step_size': 0.1}
  86/150: MAE = 15.5690 ± 1.1968, params = {'initial_temperature': 150, 'cooling_rate': 0.98, 'iterations_per_temp': 20, 'step_size': 0.2}
  87/150: MAE = 19.3517 ± 1.7989, params = {'initial_temperature': 150, 'cooling_rate': 0.98, 'iterations_per_temp': 50, 'step_size': 0.1}
  88/150: MAE = 18.6678 ± 5.0794, params = {'initial_temperature': 150, 'cooling_rate': 0.98, 'iterations_per_temp': 50, 'step_size': 0.2}
  89/150: MAE = 21.2695 ± 1.1437, params = {'initial_temperature': 150, 'cooling_rate': 0.98, 'iterations_per_temp': 100, 'step_size': 0.1}
  90/150: MAE = 15.6128 ± 3.4090, params = {'initial_temperature': 150, 'cooling_rate': 0.98, 'iterations_per_temp': 100, 'step_size': 0.2}
  91/150: MAE = 22.9139 ± 5.8251, params = {'initial_temperature': 200, 'cooling_rate': 0.8, 'iterations_per_temp': 20, 'step_size': 0.1}
  92/150: MAE = 16.2986 ± 1.7800, params = {'initial_temperature': 200, 'cooling_rate': 0.8, 'iterations_per_temp': 20, 'step_size': 0.2}
  93/150: MAE = 18.4850 ± 3.4249, params = {'initial_temperature': 200, 'cooling_rate': 0.8, 'iterations_per_temp': 50, 'step_size': 0.1}
  94/150: MAE = 14.5743 ± 3.8351, params = {'initial_temperature': 200, 'cooling_rate': 0.8, 'iterations_per_temp': 50, 'step_size': 0.2}
  95/150: MAE = 19.9831 ± 1.2608, params = {'initial_temperature': 200, 'cooling_rate': 0.8, 'iterations_per_temp': 100, 'step_size': 0.1}
  96/150: MAE = 22.1765 ± 2.4062, params = {'initial_temperature': 200, 'cooling_rate': 0.8, 'iterations_per_temp': 100, 'step_size': 0.2}
  97/150: MAE = 25.5643 ± 1.4552, params = {'initial_temperature': 200, 'cooling_rate': 0.85, 'iterations_per_temp': 20, 'step_size': 0.1}
  98/150: MAE = 17.2651 ± 1.6090, params = {'initial_temperature': 200, 'cooling_rate': 0.85, 'iterations_per_temp': 20, 'step_size': 0.2}
  99/150: MAE = 23.8369 ± 5.2141, params = {'initial_temperature': 200, 'cooling_rate': 0.85, 'iterations_per_temp': 50, 'step_size': 0.1}
  100/150: MAE = 18.3618 ± 1.0942, params = {'initial_temperature': 200, 'cooling_rate': 0.85, 'iterations_per_temp': 50, 'step_size': 0.2}
  101/150: MAE = 20.8993 ± 0.9713, params = {'initial_temperature': 200, 'cooling_rate': 0.85, 'iterations_per_temp': 100, 'step_size': 0.1}
  102/150: MAE = 12.8573 ± 1.5856, params = {'initial_temperature': 200, 'cooling_rate': 0.85, 'iterations_per_temp': 100, 'step_size': 0.2}
  103/150: MAE = 20.6362 ± 0.5594, params = {'initial_temperature': 200, 'cooling_rate': 0.9, 'iterations_per_temp': 20, 'step_size': 0.1}
  104/150: MAE = 19.3517 ± 2.1821, params = {'initial_temperature': 200, 'cooling_rate': 0.9, 'iterations_per_temp': 20, 'step_size': 0.2}
  105/150: MAE = 23.9252 ± 3.7843, params = {'initial_temperature': 200, 'cooling_rate': 0.9, 'iterations_per_temp': 50, 'step_size': 0.1}
  106/150: MAE = 17.7015 ± 1.7604, params = {'initial_temperature': 200, 'cooling_rate': 0.9, 'iterations_per_temp': 50, 'step_size': 0.2}
  107/150: MAE = 20.7850 ± 1.7807, params = {'initial_temperature': 200, 'cooling_rate': 0.9, 'iterations_per_temp': 100, 'step_size': 0.1}
  108/150: MAE = 20.2052 ± 1.6622, params = {'initial_temperature': 200, 'cooling_rate': 0.9, 'iterations_per_temp': 100, 'step_size': 0.2}
  109/150: MAE = 25.5324 ± 2.3578, params = {'initial_temperature': 200, 'cooling_rate': 0.95, 'iterations_per_temp': 20, 'step_size': 0.1}
  110/150: MAE = 22.1298 ± 3.9120, params = {'initial_temperature': 200, 'cooling_rate': 0.95, 'iterations_per_temp': 20, 'step_size': 0.2}
  111/150: MAE = 21.4677 ± 1.6235, params = {'initial_temperature': 200, 'cooling_rate': 0.95, 'iterations_per_temp': 50, 'step_size': 0.1}
  112/150: MAE = 19.6616 ± 3.9909, params = {'initial_temperature': 200, 'cooling_rate': 0.95, 'iterations_per_temp': 50, 'step_size': 0.2}
  113/150: MAE = 24.0681 ± 1.9463, params = {'initial_temperature': 200, 'cooling_rate': 0.95, 'iterations_per_temp': 100, 'step_size': 0.1}
  114/150: MAE = 15.2633 ± 4.5380, params = {'initial_temperature': 200, 'cooling_rate': 0.95, 'iterations_per_temp': 100, 'step_size': 0.2}
  115/150: MAE = 23.1493 ± 3.6521, params = {'initial_temperature': 200, 'cooling_rate': 0.98, 'iterations_per_temp': 20, 'step_size': 0.1}
  116/150: MAE = 16.5254 ± 5.1362, params = {'initial_temperature': 200, 'cooling_rate': 0.98, 'iterations_per_temp': 20, 'step_size': 0.2}
  117/150: MAE = 17.7336 ± 2.3263, params = {'initial_temperature': 200, 'cooling_rate': 0.98, 'iterations_per_temp': 50, 'step_size': 0.1}
  118/150: MAE = 21.9202 ± 5.6796, params = {'initial_temperature': 200, 'cooling_rate': 0.98, 'iterations_per_temp': 50, 'step_size': 0.2}
  119/150: MAE = 23.0146 ± 4.2525, params = {'initial_temperature': 200, 'cooling_rate': 0.98, 'iterations_per_temp': 100, 'step_size': 0.1}
  120/150: MAE = 22.6449 ± 3.4867, params = {'initial_temperature': 200, 'cooling_rate': 0.98, 'iterations_per_temp': 100, 'step_size': 0.2}
  121/150: MAE = 20.5860 ± 1.5756, params = {'initial_temperature': 300, 'cooling_rate': 0.8, 'iterations_per_temp': 20, 'step_size': 0.1}
  122/150: MAE = 17.8044 ± 3.2368, params = {'initial_temperature': 300, 'cooling_rate': 0.8, 'iterations_per_temp': 20, 'step_size': 0.2}
  123/150: MAE = 18.7970 ± 5.8447, params = {'initial_temperature': 300, 'cooling_rate': 0.8, 'iterations_per_temp': 50, 'step_size': 0.1}
  124/150: MAE = 18.9714 ± 3.1333, params = {'initial_temperature': 300, 'cooling_rate': 0.8, 'iterations_per_temp': 50, 'step_size': 0.2}
  125/150: MAE = 20.4674 ± 1.5215, params = {'initial_temperature': 300, 'cooling_rate': 0.8, 'iterations_per_temp': 100, 'step_size': 0.1}
  126/150: MAE = 21.2936 ± 3.0417, params = {'initial_temperature': 300, 'cooling_rate': 0.8, 'iterations_per_temp': 100, 'step_size': 0.2}
  127/150: MAE = 23.1378 ± 4.6693, params = {'initial_temperature': 300, 'cooling_rate': 0.85, 'iterations_per_temp': 20, 'step_size': 0.1}
  128/150: MAE = 18.9092 ± 5.3878, params = {'initial_temperature': 300, 'cooling_rate': 0.85, 'iterations_per_temp': 20, 'step_size': 0.2}
  129/150: MAE = 22.8160 ± 2.5197, params = {'initial_temperature': 300, 'cooling_rate': 0.85, 'iterations_per_temp': 50, 'step_size': 0.1}
  130/150: MAE = 18.4834 ± 2.2396, params = {'initial_temperature': 300, 'cooling_rate': 0.85, 'iterations_per_temp': 50, 'step_size': 0.2}
  131/150: MAE = 22.5087 ± 2.6814, params = {'initial_temperature': 300, 'cooling_rate': 0.85, 'iterations_per_temp': 100, 'step_size': 0.1}
  132/150: MAE = 21.0092 ± 8.0608, params = {'initial_temperature': 300, 'cooling_rate': 0.85, 'iterations_per_temp': 100, 'step_size': 0.2}
  133/150: MAE = 19.6403 ± 3.7481, params = {'initial_temperature': 300, 'cooling_rate': 0.9, 'iterations_per_temp': 20, 'step_size': 0.1}
  134/150: MAE = 16.3321 ± 3.6981, params = {'initial_temperature': 300, 'cooling_rate': 0.9, 'iterations_per_temp': 20, 'step_size': 0.2}
  135/150: MAE = 23.0276 ± 3.5247, params = {'initial_temperature': 300, 'cooling_rate': 0.9, 'iterations_per_temp': 50, 'step_size': 0.1}
  136/150: MAE = 19.1267 ± 2.8582, params = {'initial_temperature': 300, 'cooling_rate': 0.9, 'iterations_per_temp': 50, 'step_size': 0.2}
  137/150: MAE = 19.8187 ± 3.8062, params = {'initial_temperature': 300, 'cooling_rate': 0.9, 'iterations_per_temp': 100, 'step_size': 0.1}
  138/150: MAE = 16.8715 ± 1.5894, params = {'initial_temperature': 300, 'cooling_rate': 0.9, 'iterations_per_temp': 100, 'step_size': 0.2}
  139/150: MAE = 24.4455 ± 2.8486, params = {'initial_temperature': 300, 'cooling_rate': 0.95, 'iterations_per_temp': 20, 'step_size': 0.1}
  140/150: MAE = 20.6188 ± 2.3801, params = {'initial_temperature': 300, 'cooling_rate': 0.95, 'iterations_per_temp': 20, 'step_size': 0.2}
  141/150: MAE = 20.9477 ± 1.4548, params = {'initial_temperature': 300, 'cooling_rate': 0.95, 'iterations_per_temp': 50, 'step_size': 0.1}
  142/150: MAE = 18.9973 ± 2.6616, params = {'initial_temperature': 300, 'cooling_rate': 0.95, 'iterations_per_temp': 50, 'step_size': 0.2}
  143/150: MAE = 20.7513 ± 3.1168, params = {'initial_temperature': 300, 'cooling_rate': 0.95, 'iterations_per_temp': 100, 'step_size': 0.1}
  144/150: MAE = 17.8338 ± 2.1829, params = {'initial_temperature': 300, 'cooling_rate': 0.95, 'iterations_per_temp': 100, 'step_size': 0.2}
  145/150: MAE = 23.3357 ± 3.8116, params = {'initial_temperature': 300, 'cooling_rate': 0.98, 'iterations_per_temp': 20, 'step_size': 0.1}
  146/150: MAE = 17.5131 ± 3.0363, params = {'initial_temperature': 300, 'cooling_rate': 0.98, 'iterations_per_temp': 20, 'step_size': 0.2}
  147/150: MAE = 22.7613 ± 3.3664, params = {'initial_temperature': 300, 'cooling_rate': 0.98, 'iterations_per_temp': 50, 'step_size': 0.1}
  148/150: MAE = 16.5475 ± 2.8519, params = {'initial_temperature': 300, 'cooling_rate': 0.98, 'iterations_per_temp': 50, 'step_size': 0.2}
  149/150: MAE = 23.4180 ± 5.1114, params = {'initial_temperature': 300, 'cooling_rate': 0.98, 'iterations_per_temp': 100, 'step_size': 0.1}
  150/150: MAE = 18.5955 ± 0.8555, params = {'initial_temperature': 300, 'cooling_rate': 0.98, 'iterations_per_temp': 100, 'step_size': 0.2}
  >> Best params for outer fold 2: {'initial_temperature': 200, 'cooling_rate': 0.85, 'iterations_per_temp': 100, 'step_size': 0.2} (MAE 12.8573 ± 1.5856)
Outer fold 2 MAE on test: 11.0525

=== Outer Fold 3/5 ===
  1/150: MAE = 23.2131 ± 3.1396, params = {'initial_temperature': 50, 'cooling_rate': 0.8, 'iterations_per_temp': 20, 'step_size': 0.1}
  2/150: MAE = 18.2563 ± 2.3017, params = {'initial_temperature': 50, 'cooling_rate': 0.8, 'iterations_per_temp': 20, 'step_size': 0.2}
  3/150: MAE = 24.3418 ± 7.7222, params = {'initial_temperature': 50, 'cooling_rate': 0.8, 'iterations_per_temp': 50, 'step_size': 0.1}
  4/150: MAE = 23.9561 ± 1.8973, params = {'initial_temperature': 50, 'cooling_rate': 0.8, 'iterations_per_temp': 50, 'step_size': 0.2}
  5/150: MAE = 25.6390 ± 9.5167, params = {'initial_temperature': 50, 'cooling_rate': 0.8, 'iterations_per_temp': 100, 'step_size': 0.1}
  6/150: MAE = 20.7863 ± 8.0218, params = {'initial_temperature': 50, 'cooling_rate': 0.8, 'iterations_per_temp': 100, 'step_size': 0.2}
  7/150: MAE = 21.0169 ± 4.1834, params = {'initial_temperature': 50, 'cooling_rate': 0.85, 'iterations_per_temp': 20, 'step_size': 0.1}
  8/150: MAE = 19.1461 ± 1.2881, params = {'initial_temperature': 50, 'cooling_rate': 0.85, 'iterations_per_temp': 20, 'step_size': 0.2}
  9/150: MAE = 22.7148 ± 2.2414, params = {'initial_temperature': 50, 'cooling_rate': 0.85, 'iterations_per_temp': 50, 'step_size': 0.1}
  10/150: MAE = 18.8441 ± 6.8602, params = {'initial_temperature': 50, 'cooling_rate': 0.85, 'iterations_per_temp': 50, 'step_size': 0.2}
  11/150: MAE = 18.0665 ± 5.7658, params = {'initial_temperature': 50, 'cooling_rate': 0.85, 'iterations_per_temp': 100, 'step_size': 0.1}
  12/150: MAE = 18.0172 ± 4.1152, params = {'initial_temperature': 50, 'cooling_rate': 0.85, 'iterations_per_temp': 100, 'step_size': 0.2}
  13/150: MAE = 17.5107 ± 5.2650, params = {'initial_temperature': 50, 'cooling_rate': 0.9, 'iterations_per_temp': 20, 'step_size': 0.1}
  14/150: MAE = 17.1303 ± 2.9000, params = {'initial_temperature': 50, 'cooling_rate': 0.9, 'iterations_per_temp': 20, 'step_size': 0.2}
  15/150: MAE = 20.8028 ± 4.3628, params = {'initial_temperature': 50, 'cooling_rate': 0.9, 'iterations_per_temp': 50, 'step_size': 0.1}
  16/150: MAE = 19.2367 ± 3.4879, params = {'initial_temperature': 50, 'cooling_rate': 0.9, 'iterations_per_temp': 50, 'step_size': 0.2}
  17/150: MAE = 23.1911 ± 7.7729, params = {'initial_temperature': 50, 'cooling_rate': 0.9, 'iterations_per_temp': 100, 'step_size': 0.1}
  18/150: MAE = 16.5180 ± 6.5292, params = {'initial_temperature': 50, 'cooling_rate': 0.9, 'iterations_per_temp': 100, 'step_size': 0.2}
  19/150: MAE = 21.7216 ± 5.7521, params = {'initial_temperature': 50, 'cooling_rate': 0.95, 'iterations_per_temp': 20, 'step_size': 0.1}
  20/150: MAE = 21.9939 ± 4.3905, params = {'initial_temperature': 50, 'cooling_rate': 0.95, 'iterations_per_temp': 20, 'step_size': 0.2}
  21/150: MAE = 25.7113 ± 8.4721, params = {'initial_temperature': 50, 'cooling_rate': 0.95, 'iterations_per_temp': 50, 'step_size': 0.1}
  22/150: MAE = 21.0304 ± 4.9821, params = {'initial_temperature': 50, 'cooling_rate': 0.95, 'iterations_per_temp': 50, 'step_size': 0.2}
  23/150: MAE = 23.4847 ± 1.7980, params = {'initial_temperature': 50, 'cooling_rate': 0.95, 'iterations_per_temp': 100, 'step_size': 0.1}
  24/150: MAE = 21.9979 ± 10.2466, params = {'initial_temperature': 50, 'cooling_rate': 0.95, 'iterations_per_temp': 100, 'step_size': 0.2}
  25/150: MAE = 26.6341 ± 4.7053, params = {'initial_temperature': 50, 'cooling_rate': 0.98, 'iterations_per_temp': 20, 'step_size': 0.1}
  26/150: MAE = 17.8312 ± 5.8545, params = {'initial_temperature': 50, 'cooling_rate': 0.98, 'iterations_per_temp': 20, 'step_size': 0.2}
  27/150: MAE = 24.8087 ± 3.6650, params = {'initial_temperature': 50, 'cooling_rate': 0.98, 'iterations_per_temp': 50, 'step_size': 0.1}
  28/150: MAE = 17.6130 ± 2.7515, params = {'initial_temperature': 50, 'cooling_rate': 0.98, 'iterations_per_temp': 50, 'step_size': 0.2}
  29/150: MAE = 23.9704 ± 5.4597, params = {'initial_temperature': 50, 'cooling_rate': 0.98, 'iterations_per_temp': 100, 'step_size': 0.1}
  30/150: MAE = 20.1967 ± 1.1442, params = {'initial_temperature': 50, 'cooling_rate': 0.98, 'iterations_per_temp': 100, 'step_size': 0.2}
  31/150: MAE = 21.8579 ± 5.9019, params = {'initial_temperature': 100, 'cooling_rate': 0.8, 'iterations_per_temp': 20, 'step_size': 0.1}
  32/150: MAE = 16.3472 ± 4.4207, params = {'initial_temperature': 100, 'cooling_rate': 0.8, 'iterations_per_temp': 20, 'step_size': 0.2}
  33/150: MAE = 25.0757 ± 5.9108, params = {'initial_temperature': 100, 'cooling_rate': 0.8, 'iterations_per_temp': 50, 'step_size': 0.1}
  34/150: MAE = 16.9556 ± 0.6502, params = {'initial_temperature': 100, 'cooling_rate': 0.8, 'iterations_per_temp': 50, 'step_size': 0.2}
  35/150: MAE = 25.4881 ± 5.6894, params = {'initial_temperature': 100, 'cooling_rate': 0.8, 'iterations_per_temp': 100, 'step_size': 0.1}
  36/150: MAE = 23.2986 ± 6.7036, params = {'initial_temperature': 100, 'cooling_rate': 0.8, 'iterations_per_temp': 100, 'step_size': 0.2}
  37/150: MAE = 24.2440 ± 2.8564, params = {'initial_temperature': 100, 'cooling_rate': 0.85, 'iterations_per_temp': 20, 'step_size': 0.1}
  38/150: MAE = 18.7591 ± 5.4069, params = {'initial_temperature': 100, 'cooling_rate': 0.85, 'iterations_per_temp': 20, 'step_size': 0.2}
  39/150: MAE = 23.5425 ± 5.1832, params = {'initial_temperature': 100, 'cooling_rate': 0.85, 'iterations_per_temp': 50, 'step_size': 0.1}
  40/150: MAE = 18.5552 ± 2.3290, params = {'initial_temperature': 100, 'cooling_rate': 0.85, 'iterations_per_temp': 50, 'step_size': 0.2}
  41/150: MAE = 24.5151 ± 6.2825, params = {'initial_temperature': 100, 'cooling_rate': 0.85, 'iterations_per_temp': 100, 'step_size': 0.1}
  42/150: MAE = 19.1725 ± 1.9299, params = {'initial_temperature': 100, 'cooling_rate': 0.85, 'iterations_per_temp': 100, 'step_size': 0.2}
  43/150: MAE = 25.3446 ± 3.9298, params = {'initial_temperature': 100, 'cooling_rate': 0.9, 'iterations_per_temp': 20, 'step_size': 0.1}
  44/150: MAE = 22.9259 ± 6.1958, params = {'initial_temperature': 100, 'cooling_rate': 0.9, 'iterations_per_temp': 20, 'step_size': 0.2}
  45/150: MAE = 21.0332 ± 5.3151, params = {'initial_temperature': 100, 'cooling_rate': 0.9, 'iterations_per_temp': 50, 'step_size': 0.1}
  46/150: MAE = 16.8918 ± 4.8249, params = {'initial_temperature': 100, 'cooling_rate': 0.9, 'iterations_per_temp': 50, 'step_size': 0.2}
  47/150: MAE = 21.7266 ± 9.5447, params = {'initial_temperature': 100, 'cooling_rate': 0.9, 'iterations_per_temp': 100, 'step_size': 0.1}
  48/150: MAE = 18.6077 ± 8.0074, params = {'initial_temperature': 100, 'cooling_rate': 0.9, 'iterations_per_temp': 100, 'step_size': 0.2}
  49/150: MAE = 22.5766 ± 6.0562, params = {'initial_temperature': 100, 'cooling_rate': 0.95, 'iterations_per_temp': 20, 'step_size': 0.1}
  50/150: MAE = 16.6803 ± 2.6387, params = {'initial_temperature': 100, 'cooling_rate': 0.95, 'iterations_per_temp': 20, 'step_size': 0.2}
  51/150: MAE = 26.5260 ± 5.2087, params = {'initial_temperature': 100, 'cooling_rate': 0.95, 'iterations_per_temp': 50, 'step_size': 0.1}
  52/150: MAE = 20.4406 ± 7.2255, params = {'initial_temperature': 100, 'cooling_rate': 0.95, 'iterations_per_temp': 50, 'step_size': 0.2}
  53/150: MAE = 23.9305 ± 9.3081, params = {'initial_temperature': 100, 'cooling_rate': 0.95, 'iterations_per_temp': 100, 'step_size': 0.1}
  54/150: MAE = 17.6993 ± 2.4311, params = {'initial_temperature': 100, 'cooling_rate': 0.95, 'iterations_per_temp': 100, 'step_size': 0.2}
  55/150: MAE = 22.2415 ± 4.1165, params = {'initial_temperature': 100, 'cooling_rate': 0.98, 'iterations_per_temp': 20, 'step_size': 0.1}
  56/150: MAE = 16.7417 ± 4.0119, params = {'initial_temperature': 100, 'cooling_rate': 0.98, 'iterations_per_temp': 20, 'step_size': 0.2}
  57/150: MAE = 25.3572 ± 6.4681, params = {'initial_temperature': 100, 'cooling_rate': 0.98, 'iterations_per_temp': 50, 'step_size': 0.1}
