1/216: MAE = 7.1905 ± 2.8905, params = {'population_size': 20, 'generations': 50, 'crossover_rate': 0.6, 'mutation_rate': 0.01, 'mutation_scale': 0.05}
166/216: MAE = 6.1529 ± 2.9765, params = {'population_size': 50, 'generations': 50, 'crossover_rate': 0.6, 'mutation_rate': 0.05, 'mutation_scale': 0.05}
167/216: MAE = 4.8944 ± 2.3861, params = {'population_size': 50, 'generations': 50, 'crossover_rate': 0.6, 'mutation_rate': 0.05, 'mutation_scale': 0.1}
168/216: MAE = 3.4590 ± 1.5206, params = {'population_size': 50, 'generations': 50, 'crossover_rate': 0.6, 'mutation_rate': 0.05, 'mutation_scale': 0.2}
169/216: MAE = 5.9432 ± 2.5188, params = {'population_size': 50, 'generations': 50, 'crossover_rate': 0.6, 'mutation_rate': 0.1, 'mutation_scale': 0.05}
170/216: MAE = 5.2976 ± 2.5538, params = {'population_size': 50, 'generations': 50, 'crossover_rate': 0.6, 'mutation_rate': 0.1, 'mutation_scale': 0.1}
171/216: MAE = 3.7310 ± 2.0637, params = {'population_size': 50, 'generations': 50, 'crossover_rate': 0.6, 'mutation_rate': 0.1, 'mutation_scale': 0.2}
172/216: MAE = 6.0286 ± 3.0841, params = {'population_size': 50, 'generations': 50, 'crossover_rate': 0.8, 'mutation_rate': 0.01, 'mutation_scale': 0.05}
173/216: MAE = 6.3014 ± 2.9996, params = {'population_size': 50, 'generations': 50, 'crossover_rate': 0.8, 'mutation_rate': 0.01, 'mutation_scale': 0.1}
174/216: MAE = 4.8494 ± 2.0949, params = {'population_size': 50, 'generations': 50, 'crossover_rate': 0.8, 'mutation_rate': 0.01, 'mutation_scale': 0.2}
175/216: MAE = 5.7235 ± 2.5654, params = {'population_size': 50, 'generations': 50, 'crossover_rate': 0.8, 'mutation_rate': 0.05, 'mutation_scale': 0.05}
176/216: MAE = 5.6304 ± 2.9320, params = {'population_size': 50, 'generations': 50, 'crossover_rate': 0.8, 'mutation_rate': 0.05, 'mutation_scale': 0.1}
177/216: MAE = 5.0990 ± 2.5112, params = {'population_size': 50, 'generations': 50, 'crossover_rate': 0.8, 'mutation_rate': 0.05, 'mutation_scale': 0.2}
178/216: MAE = 5.6535 ± 2.3111, params = {'population_size': 50, 'generations': 50, 'crossover_rate': 0.8, 'mutation_rate': 0.1, 'mutation_scale': 0.05}
179/216: MAE = 5.4665 ± 2.9609, params = {'population_size': 50, 'generations': 50, 'crossover_rate': 0.8, 'mutation_rate': 0.1, 'mutation_scale': 0.1}
180/216: MAE = 4.4184 ± 2.0344, params = {'population_size': 50, 'generations': 50, 'crossover_rate': 0.8, 'mutation_rate': 0.1, 'mutation_scale': 0.2}
181/216: MAE = 6.4536 ± 2.7141, params = {'population_size': 50, 'generations': 50, 'crossover_rate': 1.0, 'mutation_rate': 0.01, 'mutation_scale': 0.05}
182/216: MAE = 6.2815 ± 2.6967, params = {'population_size': 50, 'generations': 50, 'crossover_rate': 1.0, 'mutation_rate': 0.01, 'mutation_scale': 0.1}
183/216: MAE = 5.8660 ± 2.5833, params = {'population_size': 50, 'generations': 50, 'crossover_rate': 1.0, 'mutation_rate': 0.01, 'mutation_scale': 0.2}
184/216: MAE = 5.7469 ± 2.9944, params = {'population_size': 50, 'generations': 50, 'crossover_rate': 1.0, 'mutation_rate': 0.05, 'mutation_scale': 0.05}
185/216: MAE = 5.7335 ± 2.5839, params = {'population_size': 50, 'generations': 50, 'crossover_rate': 1.0, 'mutation_rate': 0.05, 'mutation_scale': 0.1}
186/216: MAE = 4.1242 ± 2.4700, params = {'population_size': 50, 'generations': 50, 'crossover_rate': 1.0, 'mutation_rate': 0.05, 'mutation_scale': 0.2}
187/216: MAE = 5.9805 ± 2.8781, params = {'population_size': 50, 'generations': 50, 'crossover_rate': 1.0, 'mutation_rate': 0.1, 'mutation_scale': 0.05}
188/216: MAE = 5.4019 ± 2.7370, params = {'population_size': 50, 'generations': 50, 'crossover_rate': 1.0, 'mutation_rate': 0.1, 'mutation_scale': 0.1}
189/216: MAE = 4.5006 ± 2.9405, params = {'population_size': 50, 'generations': 50, 'crossover_rate': 1.0, 'mutation_rate': 0.1, 'mutation_scale': 0.2}
190/216: MAE = 6.2236 ± 2.9138, params = {'population_size': 50, 'generations': 100, 'crossover_rate': 0.6, 'mutation_rate': 0.01, 'mutation_scale': 0.05}
191/216: MAE = 6.1580 ± 2.7395, params = {'population_size': 50, 'generations': 100, 'crossover_rate': 0.6, 'mutation_rate': 0.01, 'mutation_scale': 0.1}
192/216: MAE = 5.5859 ± 2.7806, params = {'population_size': 50, 'generations': 100, 'crossover_rate': 0.6, 'mutation_rate': 0.01, 'mutation_scale': 0.2}
193/216: MAE = 5.8155 ± 2.8531, params = {'population_size': 50, 'generations': 100, 'crossover_rate': 0.6, 'mutation_rate': 0.05, 'mutation_scale': 0.05}
194/216: MAE = 5.6009 ± 3.1815, params = {'population_size': 50, 'generations': 100, 'crossover_rate': 0.6, 'mutation_rate': 0.05, 'mutation_scale': 0.1}
195/216: MAE = 4.5505 ± 1.9909, params = {'population_size': 50, 'generations': 100, 'crossover_rate': 0.6, 'mutation_rate': 0.05, 'mutation_scale': 0.2}
196/216: MAE = 6.0494 ± 2.5215, params = {'population_size': 50, 'generations': 100, 'crossover_rate': 0.6, 'mutation_rate': 0.1, 'mutation_scale': 0.05}
197/216: MAE = 5.1973 ± 2.0778, params = {'population_size': 50, 'generations': 100, 'crossover_rate': 0.6, 'mutation_rate': 0.1, 'mutation_scale': 0.1}
198/216: MAE = 3.8737 ± 2.5099, params = {'population_size': 50, 'generations': 100, 'crossover_rate': 0.6, 'mutation_rate': 0.1, 'mutation_scale': 0.2}
199/216: MAE = 6.2771 ± 2.5937, params = {'population_size': 50, 'generations': 100, 'crossover_rate': 0.8, 'mutation_rate': 0.01, 'mutation_scale': 0.05}
200/216: MAE = 6.1496 ± 3.2621, params = {'population_size': 50, 'generations': 100, 'crossover_rate': 0.8, 'mutation_rate': 0.01, 'mutation_scale': 0.1}
201/216: MAE = 5.2417 ± 3.2309, params = {'population_size': 50, 'generations': 100, 'crossover_rate': 0.8, 'mutation_rate': 0.01, 'mutation_scale': 0.2}
202/216: MAE = 6.1404 ± 2.8145, params = {'population_size': 50, 'generations': 100, 'crossover_rate': 0.8, 'mutation_rate': 0.05, 'mutation_scale': 0.05}
203/216: MAE = 5.5101 ± 2.7971, params = {'population_size': 50, 'generations': 100, 'crossover_rate': 0.8, 'mutation_rate': 0.05, 'mutation_scale': 0.1}
204/216: MAE = 4.4981 ± 2.7230, params = {'population_size': 50, 'generations': 100, 'crossover_rate': 0.8, 'mutation_rate': 0.05, 'mutation_scale': 0.2}
205/216: MAE = 5.9750 ± 2.8755, params = {'population_size': 50, 'generations': 100, 'crossover_rate': 0.8, 'mutation_rate': 0.1, 'mutation_scale': 0.05}
206/216: MAE = 5.2808 ± 2.5557, params = {'population_size': 50, 'generations': 100, 'crossover_rate': 0.8, 'mutation_rate': 0.1, 'mutation_scale': 0.1}
207/216: MAE = 3.3723 ± 1.9164, params = {'population_size': 50, 'generations': 100, 'crossover_rate': 0.8, 'mutation_rate': 0.1, 'mutation_scale': 0.2}
208/216: MAE = 6.2254 ± 2.8978, params = {'population_size': 50, 'generations': 100, 'crossover_rate': 1.0, 'mutation_rate': 0.01, 'mutation_scale': 0.05}
209/216: MAE = 5.9296 ± 2.9987, params = {'population_size': 50, 'generations': 100, 'crossover_rate': 1.0, 'mutation_rate': 0.01, 'mutation_scale': 0.1}
210/216: MAE = 5.2727 ± 2.3474, params = {'population_size': 50, 'generations': 100, 'crossover_rate': 1.0, 'mutation_rate': 0.01, 'mutation_scale': 0.2}
211/216: MAE = 5.5648 ± 2.8765, params = {'population_size': 50, 'generations': 100, 'crossover_rate': 1.0, 'mutation_rate': 0.05, 'mutation_scale': 0.05}
212/216: MAE = 5.3550 ± 2.4378, params = {'population_size': 50, 'generations': 100, 'crossover_rate': 1.0, 'mutation_rate': 0.05, 'mutation_scale': 0.1}
213/216: MAE = 4.3573 ± 1.8613, params = {'population_size': 50, 'generations': 100, 'crossover_rate': 1.0, 'mutation_rate': 0.05, 'mutation_scale': 0.2}
214/216: MAE = 5.6850 ± 2.3519, params = {'population_size': 50, 'generations': 100, 'crossover_rate': 1.0, 'mutation_rate': 0.1, 'mutation_scale': 0.05}
215/216: MAE = 4.5362 ± 2.6912, params = {'population_size': 50, 'generations': 100, 'crossover_rate': 1.0, 'mutation_rate': 0.1, 'mutation_scale': 0.1}
216/216: MAE = 4.0758 ± 2.5693, params = {'population_size': 50, 'generations': 100, 'crossover_rate': 1.0, 'mutation_rate': 0.1, 'mutation_scale': 0.2}

=== Best Hyperparameters ===
{'population_size': 50, 'generations': 100, 'crossover_rate': 0.8, 'mutation_rate': 0.1, 'mutation_scale': 0.2}
Mean MAE across folds: 3.3723 ± 1.9164
